theta,n_BE_pred,n_obs,D_pred,D_obs,gbar_log,gobs_log
0.221518,4.032747,2.548134,5.032747,3.548134,-11.2300,-10.6800
0.248547,3.544067,2.467369,4.544067,3.467369,-11.1300,-10.5900
0.231958,3.830438,3.073803,4.830438,4.073803,-11.1900,-10.5800
0.206733,4.354377,4.011872,5.354377,5.011872,-11.2900,-10.5900
0.175958,5.197825,5.025596,6.197825,6.025596,-11.4300,-10.6500
0.144680,6.423844,6.943282,7.423844,7.943282,-11.6000,-10.7000
0.120340,7.819827,8.332543,8.819827,9.332543,-11.7600,-10.7900
0.248547,3.544067,4.370318,4.544067,5.370318,-11.1300,-10.4000
0.240110,3.684756,5.025596,4.684756,6.025596,-11.1600,-10.3800
0.226678,3.930418,5.606934,4.930418,6.606934,-11.2100,-10.3900
0.218982,4.084809,5.309573,5.084809,6.309573,-11.2400,-10.4400
0.202027,4.466658,5.760830,5.466658,6.760830,-11.3100,-10.4800
0.197428,4.581572,5.606934,5.581572,6.606934,-11.3300,-10.5100
0.195168,4.640035,5.165950,5.640035,6.165950,-11.3400,-10.5500
0.180057,5.068802,5.760830,6.068802,6.760830,-11.4100,-10.5800
0.180057,5.068802,5.165950,6.068802,6.165950,-11.4100,-10.6200
0.175958,5.197825,5.025596,6.197825,6.025596,-11.4300,-10.6500
0.171953,5.329870,5.025596,6.329870,6.025596,-11.4500,-10.6700
0.175958,5.197825,4.495409,6.197825,5.495409,-11.4300,-10.6900
0.184251,4.942730,3.897788,5.942730,4.897788,-11.3900,-10.7000
0.188543,4.819545,3.677351,5.819545,4.677351,-11.3700,-10.7000
0.192934,4.699180,3.570882,5.699180,4.570882,-11.3500,-10.6900
0.192934,4.699180,3.570882,5.699180,4.570882,-11.3500,-10.6900
0.206733,4.354377,4.888437,5.354377,5.888437,-11.2900,-10.5200
0.209127,4.299206,5.456542,5.299206,6.456542,-11.2800,-10.4700
0.197428,4.581572,5.456542,5.581572,6.456542,-11.3300,-10.5200
0.186384,4.880781,5.918310,5.880781,6.918310,-11.3800,-10.5400
0.184251,4.942730,5.456542,5.942730,6.456542,-11.3900,-10.5800
0.180057,5.068802,5.309573,6.068802,6.309573,-11.4100,-10.6100
0.186384,4.880781,4.495409,5.880781,5.495409,-11.3800,-10.6400
0.188543,4.819545,4.128614,5.819545,5.128614,-11.3700,-10.6600
0.195168,4.640035,3.466836,5.640035,4.466836,-11.3400,-10.6900
